96																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	2	二	27	31	13	49	23	21	13	21	23	27	31	49	19
2		5	五	19	44	42	48	23	12	12	19	23	42	44	48	33
3		9	二	28	39	35	45	26	44	26	28	35	39	44	45	18
4		12	五	26	31	33	10	28	16	10	16	26	38	31	33	44
5		16	二	28	38	13	33	43	48	13	28	33	38	43	48	4
6		19	五	46	45	44	26	6	27	6	26	27	44	45	46	2
7		23	二	44	15	7	31	36	6	6	7	15	31	36	44	29
8		26	五	36	34	8	26	18	13	8	13	18	26	34	36	17
9		30	二	45	6	26	18	39	42	6	18	26	39	42	45	14
10	2	2	五	48	10	12	7	8	47	7	8	10	12	47	48	38
11		6	二	16	26	32	48	12	41	12	16	26	32	41	48	1
12		9	五	45	7	28	41	48	30	7	28	30	41	45	48	44
13		13	二	2	46	25	39	8	43	2	8	25	39	43	46	13
14		16	五	34	48	44	19	27	18	18	19	27	34	44	48	37
15		20	二	1	19	45	38	33	13	1	13	19	33	38	45	36
16		23	五	13	39	48	25	5	30	5	13	25	30	39	48	36
17		27	二	49	39	6	36	48	22	6	22	36	39	48	49	28
18	3	2	五	15	39	49	32	12	24	12	15	24	32	39	49	6
19		6	二	33	2	15	46	16	31	2	15	16	31	33	46	40
20		9	五	21	14	23	31	20	12	12	14	20	21	23	31	45
21		13	二	41	4	22	13	24	26	4	13	22	24	26	41	28
22		16	五	35	43	28	49	36	38	28	35	36	38	43	49	47
23		20	二	47	37	14	15	25	49	14	15	25	37	47	49	13
24		23	五	19	32	17	20	5	6	5	6	17	19	20	32	18
25		27	二	39	11	21	42	43	4	4	11	21	39	42	43	10
26		30	五	14	45	46	40	33	31	14	31	33	40	45	46	49
27	4	3	二	39	49	45	4	10	43	4	10	39	43	45	49	33
28		6	五	18	22	37	34	35	10	10	18	22	34	35	37	41
29		10	二	20	6	42	2	47	4	2	4	6	20	42	47	39
30		13	五	23	31	15	5	33	28	5	15	23	28	31	33	49
31		17	二	45	48	31	8	44	40	8	31	40	44	45	48	6
32		20	五	49	9	15	44	19	16	9	15	16	19	44	49	37
33		24	二	40	38	8	20	25	22	8	20	22	25	38	40	41
34		27	五	42	32	10	38	9	29	9	10	29	32	38	42	37
35	5	1	二	24	28	49	34	45	21	21	24	28	34	45	49	46
36		4	五	6	38	40	22	44	34	6	22	34	38	40	44	15
																
96																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	5	8	二	27	1	46	41	28	16	1	16	27	28	41	46	38
38		11	五	29	26	10	13	47	21	10	13	21	26	29	47	49
39		15	二	35	31	48	47	40	13	13	31	35	40	47	48	39
40		18	五	41	27	43	11	12	46	11	12	27	41	43	46	36
41		22	二	41	48	1	30	18	32	1	18	30	32	41	48	24
42		25	五	13	25	11	36	2	34	2	11	13	25	34	36	38
43		29	二	10	45	43	48	15	18	10	15	18	43	45	48	11
44	6	1	五	11	43	34	25	7	8	7	8	11	25	34	43	16
45		5	二	47	25	23	36	16	1	1	16	23	25	36	47	21
46		8	五	46	26	28	2	1	11	1	2	11	26	28	46	16
47		12	二	5	38	39	3	20	44	3	5	20	38	39	44	43
48		15	五	17	46	36	34	28	11	11	17	28	34	36	46	26
49		19	二	20	41	28	43	33	45	20	28	33	41	43	45	10
50		22	五	13	35	42	39	32	41	13	32	35	39	41	42	1
51		26	二	37	43	38	18	24	47	18	24	37	38	43	47	2
52		29	五	9	26	29	44	23	28	9	23	26	28	29	44	31
53	7	3	二	9	49	24	1	5	21	1	5	9	21	24	49	35
54		6	五	36	23	48	12	9	44	9	12	23	36	44	48	26
55		10	二	34	44	40	45	29	2	2	29	34	40	44	45	1
56		13	五	10	34	35	13	5	18	5	10	13	18	34	35	15
57		17	二	29	49	15	48	39	37	15	29	37	39	48	49	46
58		20	五	10	5	2	23	25	19	2	5	10	19	23	25	11
59		24	二	31	1	12	22	29	7	1	7	12	22	29	31	4
60		27	五	21	39	13	42	46	32	13	21	32	39	42	46	36
61		31	二	39	1	6	41	7	25	1	6	7	25	39	41	5
62	8	3	五	2	15	12	40	27	38	2	12	15	27	38	40	35
63		7	二	5	1	35	18	25	41	1	5	18	25	35	41	14
64		10	五	35	11	40	29	22	27	11	22	27	29	35	40	48
65		14	二	38	26	2	25	12	5	2	5	12	25	26	38	6
66		17	五	43	35	31	2	12	47	2	12	31	35	43	47	40
67		21	二	46	24	42	16	38	25	16	24	25	38	42	46	6
68		24	五	47	4	25	7	12	6	4	6	7	12	25	47	9
69		28	二	22	29	39	2	11	34	2	11	22	29	34	39	45
70		31	五	35	31	23	44	40	41	23	31	35	40	41	44	21
71	9	4	二	21	17	42	48	9	18	9	17	18	21	42	48	7
72		7	五	22	5	49	32	42	3	3	5	22	32	42	49	28
																
96																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
73	9	11	二	28	18	14	3	22	36	3	14	18	22	28	36	47
74		14	五	45	22	27	15	2	48	2	15	22	27	45	48	32
75		18	二	20	46	29	37	31	25	20	25	29	31	37	46	49
76		21	五	39	16	24	35	31	1	1	16	24	31	35	39	21
77		25	二	8	42	38	28	10	12	8	10	12	28	38	42	33
78		28	五	16	19	8	30	9	17	8	9	16	17	19	30	45
79	10	2	二	49	3	4	9	24	8	3	4	8	9	24	49	23
80		5	五	19	48	26	29	10	3	3	10	19	26	29	48	18
81		9	二	40	36	47	9	38	46	9	36	38	40	46	47	13
82		12	五	9	28	26	37	20	23	9	20	23	26	28	37	44
83		16	二	38	7	18	40	11	5	5	7	11	18	38	40	31
84		19	五	36	15	28	17	46	22	15	17	22	28	36	46	24
85		23	二	49	25	29	10	47	34	10	25	29	34	47	49	17
86		26	五	36	21	13	3	11	16	3	11	13	16	21	36	26
87		30	二	4	9	11	41	49	47	1	4	9	17	19	41	7
88	11	2	五	48	10	4	44	28	45	4	10	28	44	45	48	39
89		6	二	43	44	10	1	27	40	1	10	27	40	43	44	2
90		9	五	24	12	6	1	2	18	1	2	6	12	18	24	25
91		13	二	37	16	17	5	3	32	3	5	16	17	32	37	24
92		16	五	16	39	42	20	46	22	16	20	22	39	42	46	38
93		20	二	1	22	20	16	17	42	1	16	17	20	22	42	29
94		23	五	43	46	1	49	23	22	1	22	23	43	46	49	33
95		27	二	8	47	12	36	34	16	8	12	16	34	36	47	33
96		30	五	15	8	19	45	16	30	8	15	16	19	30	45	44
97	12	4	二	1	43	16	38	44	31	1	16	31	38	43	44	42
98		7	五	8	17	28	32	34	10	8	10	17	28	32	34	42
99		11	二	10	43	27	16	20	15	10	15	16	20	27	43	19
100		14	五	34	1	17	27	26	39	1	17	26	27	34	39	13
101		18	二	13	7	4	19	49	23	4	7	13	19	23	49	17
102		21	五	20	28	15	22	19	44	15	19	20	22	28	44	42
103		25	二	31	9	37	5	18	6	5	6	9	18	31	37	32
104		28	五	12	18	10	22	16	29	10	12	16	18	22	29	30
																
																
																
																
本表謹供參考，中獎號碼以台灣彩券公司公佈之紀錄表為準   http://www.aok.url.tw   祝您中大獎																
97																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
1	1	1	二	48	18	13	27	43	47	13	18	27	43	47	48	21
2		4	五	13	5	40	31	29	39	5	13	29	31	39	40	33
3		8	二	17	28	44	12	7	3	3	7	12	17	28	44	36
4		11	五	27	8	37	3	49	7	3	7	8	27	37	49	48
5		15	二	41	31	5	8	32	10	5	8	10	31	32	41	11
6		18	五	6	18	36	25	8	26	6	8	18	25	26	36	13
7		22	二	37	26	14	13	9	30	9	13	14	26	30	37	5
8		25	五	20	1	15	24	4	40	1	4	15	20	24	40	32
9		29	二	49	42	21	38	34	41	21	34	38	41	42	49	25
10	2	1	五	2	6	20	38	1	18	1	2	6	18	20	38	29
11		5	二	33	29	42	35	30	17	17	29	30	33	35	42	10
12		8	五	7	15	3	6	1	27	1	3	6	7	15	27	39
13		12	二	12	5	27	25	22	19	5	12	19	22	25	27	29
14		15	五	31	1	42	41	46	22	1	22	31	41	42	46	36
15		19	二	26	22	31	16	39	43	16	22	26	31	39	43	9
16		22	五	43	30	12	7	3	1	1	3	7	12	30	43	22
17		26	二	40	6	33	37	47	16	6	16	33	37	40	47	28
18		29	五	7	1	9	10	18	27	1	7	9	10	18	27	43
19	3	4	二	25	38	22	1	47	15	1	15	22	25	38	47	16
20		7	五	28	40	41	25	12	42	12	25	28	40	41	42	29
21		11	二	44	30	7	8	21	36	7	8	21	30	36	44	4
22		14	五	44	34	21	30	3	49	3	21	30	34	44	49	13
23		18	二	38	9	27	1	33	49	1	9	27	33	38	49	31
24		21	五	11	49	27	32	34	14	11	14	27	32	34	49	28
25		25	二	33	3	13	5	2	49	2	3	5	13	33	49	10
26		28	五	19	26	8	9	1	12	1	8	9	12	19	26	49
27	4	1	二	32	25	8	33	24	16	8	16	24	25	32	33	12
28		4	五	28	23	44	38	13	30	13	23	28	30	38	44	26
29		8	二	29	32	23	39	37	11	11	23	29	32	37	39	31
30		11	五	25	23	6	42	28	5	5	6	23	25	28	42	43
31		15	二	43	47	32	33	13	20	13	20	32	33	43	47	28
32		18	五	35	43	13	38	4	25	4	13	25	35	38	43	30
33		22	二	49	36	10	15	44	31	10	15	31	36	44	49	7
34		25	五	45	15	48	20	47	4	4	15	20	45	47	48	34
35		29	二	42	11	2	35	3	32	2	3	11	32	35	42	18
36	5	2	五	14	45	13	33	11	39	11	13	14	33	39	45	41
																
97																
期別	月	日	星期	落 球 號 碼						順 序 號 碼						特別號
37	5	6	二	9	23	46	10	15	48	9	10	15	23	46	48	38
38		9	五	15	43	36	23	48	17	15	17	23	36	43	48	21
39		13	二	41	31	37	38	11	47	11	31	37	38	41	47	18
40		16	五	22	7	26	3	21	40	3	7	21	22	26	40	41
41		20	二	45	17	8	47	14	42	8	14	17	42	45	47	39
42		23	五	11	37	44	29	2	10	2	10	11	29	37	44	13
43		27	二	4	15	49	24	41	7	4	7	15	24	41	49	30
44		30	五	42	12	8	20	32	11	8	11	12	20	32	42	30
45	6	3	二	31	1	27	20	29	24	1	20	24	27	29	31	4
46		6	五	22	31	20	42	1	40	1	20	22	31	40	42	38
47		10	二	22	19	39	14	20	34	14	19	20	22	34	39	37
48		13	五	8	39	31	20	7	21	7	8	20	21	31	39	6
49		17	二	41	32	15	40	7	1	1	7	15	32	40	41	9
50		20	五	24	28	3	39	20	21	3	20	21	24	28	39	23
51		24	二	8	20	2	43	33	7	2	7	8	20	33	43	4
52		27	五	41	38	2	9	10	1	1	2	9	10	38	41	31
53	7	1	二	48	15	43	35	24	20	15	20	24	35	43	48	9
54		4	五	21	10	43	49	6	17	6	10	17	21	43	49	33
55		8	二	32	33	14	36	23	42	14	23	32	33	36	42	3
56		11	五	34	7	21	23	22	36	7	21	22	23	34	36	11
57		15	二	6	16	21	45	37	36	6	16	21	36	37	45	40
58		18	五	38	9	4	15	6	20	4	6	9	15	20	38	27
59		22	二	1	29	30	33	25	17	1	17	25	29	30	33	47
60		25	五	19	25	29	7	43	35	7	19	25	29	35	43	1
61		29	二	41	39	43	45	16	42	16	39	41	42	43	45	14
62	8	1	五	37	38	7	22	18	11	7	11	18	22	37	38	30
63		5	二	29	10	41	44	5	45	5	10	29	41	44	45	6
